ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2020,2020-09-03,7,Estádio Olímpico Nilton Santos,Felipe Fernandes,0.0,46931.0,Botafogo,Coritiba FC,,,16.0,14.0,,,,,0.0,0.0,0.0,0.0,6.0,6.0,23.0,21.0,21.0,22.0,3.0,5.0,1.0,0.0,17.0,7.0,9.0,2.0
2020,2020-09-20,11,Estádio Olímpico Nilton Santos,Jose Mendonça,0.0,46931.0,Botafogo,Santos FC,Paulo Autuori,Cuca,17.0,7.0,9950000.0,20900000.0,25.2,27.4,0.0,0.0,0.0,0.0,8.0,10.0,15.0,13.0,13.0,14.0,6.0,0.0,0.0,1.0,7.0,21.0,6.0,10.0
2020,2020-10-08,14,Estádio Olímpico Nilton Santos,Rodolpho Toski Marques,0.0,46931.0,Botafogo,Palmeiras,Bruno Lazaroni,Vanderlei Luxemburgo,19.0,4.0,10300000.0,29000000.0,26.4,29.3,2.0,1.0,0.0,0.0,2.0,5.0,16.0,15.0,15.0,15.0,3.0,2.0,0.0,2.0,11.0,20.0,2.0,11.0
2020,2020-10-20,17,Estádio Olímpico Nilton Santos,Edina Alves Batista,0.0,46931.0,Botafogo,Goiás EC,Bruno Lazaroni,Enderson Moreira,16.0,20.0,10150000.0,10450000.0,26.7,27.1,0.0,0.0,0.0,0.0,11.0,5.0,18.0,11.0,10.0,17.0,4.0,6.0,3.0,0.0,23.0,12.0,7.0,6.0
2020,2020-11-22,22,Estádio Olímpico Nilton Santos,Héber Lopes,0.0,46931.0,Botafogo,Fortaleza,Emiliano Ramón Díaz,Marcelo Chamusca,19.0,12.0,9350000.0,7750000.0,27.6,29.9,1.0,2.0,0.0,0.0,7.0,5.0,18.0,15.0,15.0,16.0,4.0,5.0,3.0,2.0,19.0,11.0,6.0,2.0
2020,2020-12-05,24,Estádio Olímpico Nilton Santos,Anderson Daronco,0.0,46931.0,Botafogo,Flamengo,Felipe Lucena,Rogério Ceni,19.0,3.0,12350000.0,70550000.0,27.1,29.2,0.0,1.0,0.0,0.0,5.0,7.0,16.0,26.0,24.0,16.0,1.0,3.0,0.0,0.0,13.0,14.0,4.0,4.0
2020,2021-01-20,31,Estádio Olímpico Nilton Santos,Ramon Abatti,0.0,46931.0,Botafogo,Atlético-GO,Eduardo Barroca,Marcelo Cabo,20.0,13.0,8200000.0,8600000.0,23.7,25.2,1.0,3.0,0.0,0.0,3.0,6.0,18.0,14.0,14.0,17.0,2.0,4.0,1.0,1.0,17.0,14.0,7.0,4.0
2020,2021-02-23,37,Estádio Olímpico Nilton Santos,Braulio da Silva Machado,0.0,46931.0,Botafogo,São Paulo,Lúcio Flávio,Vizolli,20.0,3.0,3980000.0,39200000.0,22.1,27.3,1.0,0.0,0.0,0.0,4.0,3.0,12.0,15.0,15.0,12.0,1.0,7.0,2.0,0.0,19.0,7.0,3.0,5.0
2020,2020-08-13,2,Estádio Governador Roberto Santos,Flavio Rodrigues de Souza,0.0,30000.0,EC Bahia,Coritiba FC,Roger Machado,Eduardo Barroca,4.0,18.0,11750000.0,6800000.0,28.0,26.7,1.0,0.0,1.0,0.0,3.0,8.0,16.0,18.0,17.0,14.0,3.0,4.0,1.0,5.0,12.0,14.0,7.0,8.0
2020,2020-08-16,3,Estádio Governador Roberto Santos,Felipe Fernandes,0.0,30000.0,EC Bahia,RB Bragantino,Roger Machado,Felipe Tigrão,5.0,11.0,11130000.0,10630000.0,28.8,26.2,2.0,1.0,1.0,0.0,3.0,7.0,16.0,16.0,14.0,15.0,2.0,2.0,2.0,1.0,10.0,16.0,4.0,7.0
2020,2020-08-30,6,Estádio Governador Roberto Santos,Bruno Arleu de Araújo,0.0,30000.0,EC Bahia,Palmeiras,Roger Machado,Vanderlei Luxemburgo,4.0,6.0,11350000.0,30950000.0,29.6,27.7,1.0,1.0,0.0,0.0,8.0,2.0,15.0,16.0,15.0,15.0,4.0,0.0,1.0,4.0,9.0,11.0,1.0,3.0
2020,2020-10-08,14,Estádio Governador Roberto Santos,Jean Pierre Goncalves Lima,0.0,30000.0,EC Bahia,Vasco da Gama,Mano Menezes,Ramon Menezes,16.0,8.0,11700000.0,21100000.0,29.1,26.8,3.0,0.0,3.0,0.0,4.0,6.0,18.0,15.0,14.0,16.0,1.0,3.0,0.0,1.0,13.0,10.0,3.0,6.0
2020,2020-11-11,18,Arena Fonte Nova,Wagner do Nascimento Magalhães,0.0,55000.0,EC Bahia,Fortaleza,Mano Menezes,Marconne Montenegro,14.0,7.0,8480000.0,7850000.0,27.7,30.2,2.0,1.0,1.0,0.0,4.0,7.0,14.0,11.0,11.0,13.0,0.0,4.0,1.0,2.0,13.0,8.0,5.0,4.0
2020,2020-11-08,20,Arena Fonte Nova,Jefferson Ferreira Moraes,0.0,55000.0,EC Bahia,Botafogo,Mano Menezes,Flávio Tenius,13.0,16.0,9450000.0,8000000.0,29.4,25.6,1.0,0.0,0.0,0.0,4.0,4.0,19.0,17.0,16.0,18.0,3.0,4.0,1.0,1.0,20.0,10.0,7.0,5.0
2020,2020-11-28,23,Arena Fonte Nova,Leandro Pedro Vuaden,0.0,55000.0,EC Bahia,São Paulo,Mano Menezes,Fernando Diniz,10.0,1.0,9600000.0,28400000.0,27.5,27.4,1.0,3.0,0.0,0.0,5.0,9.0,12.0,15.0,14.0,12.0,5.0,5.0,1.0,1.0,15.0,17.0,4.0,4.0
2020,2020-12-05,24,Arena Fonte Nova,Jean Pierre Goncalves Lima,0.0,55000.0,EC Bahia,Ceará SC,Mano Menezes,Guto Ferreira,13.0,10.0,8480000.0,7350000.0,26.8,28.3,0.0,2.0,0.0,0.0,6.0,4.0,12.0,17.0,17.0,10.0,3.0,2.0,1.0,1.0,9.0,11.0,5.0,4.0
2020,2021-01-28,30,Arena Fonte Nova,Ricardo Marques Ribeiro,0.0,55000.0,EC Bahia,Corinthians,Dado Cavalcanti,Vágner Mancini,17.0,9.0,6900000.0,31500000.0,28.3,28.7,2.0,1.0,2.0,0.0,3.0,10.0,24.0,19.0,18.0,24.0,4.0,5.0,0.0,1.0,8.0,15.0,1.0,5.0
2020,2021-01-20,31,Arena Fonte Nova,Luiz Flávio de Oliveira,0.0,55000.0,EC Bahia,Athletico-PR,Dado Cavalcanti,Paulo Autuori,16.0,10.0,5180000.0,20950000.0,25.9,26.7,1.0,0.0,0.0,0.0,9.0,4.0,15.0,14.0,13.0,15.0,1.0,3.0,3.0,2.0,11.0,12.0,6.0,7.0
2020,2021-02-26,38,Arena Fonte Nova,Paulo Roberto Alves Júnior,0.0,55000.0,EC Bahia,Santos FC,Dado Cavalcanti,Marcelo Fernandes,15.0,8.0,8150000.0,10650000.0,29.3,22.4,2.0,0.0,1.0,0.0,4.0,4.0,11.0,13.0,13.0,11.0,5.0,3.0,2.0,1.0,16.0,15.0,8.0,6.0
2020,2020-08-23,5,Estádio Jornalista Mário Filho,Leandro Pedro Vuaden,0.0,78838.0,Flamengo,Botafogo,Domènec Torrent,Paulo Autuori,17.0,12.0,53100000.0,10150000.0,28.7,26.3,1.0,1.0,0.0,0.0,5.0,4.0,15.0,17.0,16.0,14.0,0.0,4.0,0.0,2.0,15.0,7.0,5.0,4.0
2020,2020-10-04,13,Estádio Jornalista Mário Filho,Rodrigo D,0.0,78838.0,Flamengo,Athletico-PR,Domènec Torrent,Eduardo Barros,4.0,8.0,59150000.0,15450000.0,25.9,26.5,3.0,1.0,0.0,0.0,4.0,5.0,18.0,22.0,21.0,17.0,2.0,4.0,2.0,2.0,13.0,10.0,4.0,5.0
2020,2020-10-08,14,Estádio Jornalista Mário Filho,Caio Max Augusto Vieira,0.0,78838.0,Flamengo,Sport Recife,Domènec Torrent,Jair Ventura,2.0,6.0,47250000.0,8400000.0,27.3,29.1,3.0,0.0,0.0,0.0,8.0,6.0,14.0,16.0,16.0,12.0,1.0,3.0,1.0,1.0,16.0,14.0,5.0,7.0
2020,2020-10-16,16,Estádio Jornalista Mário Filho,Daniel Nobre Bins,0.0,78838.0,Flamengo,RB Bragantino,Domènec Torrent,Maurício Barbieri,2.0,19.0,42600000.0,10750000.0,26.4,25.5,1.0,1.0,0.0,0.0,5.0,1.0,16.0,14.0,12.0,16.0,2.0,9.0,1.0,2.0,19.0,11.0,5.0,5.0
2020,2020-11-15,21,Estádio Jornalista Mário Filho,Rafael Traci,0.0,78838.0,Flamengo,Atlético-GO,Rogério Ceni,Marcelo Cabo,4.0,14.0,62300000.0,8200000.0,25.4,25.4,1.0,1.0,1.0,0.0,11.0,4.0,15.0,16.0,16.0,14.0,4.0,5.0,1.0,2.0,19.0,10.0,9.0,4.0
2020,2020-11-21,22,Estádio Jornalista Mário Filho,Ricardo Marques Ribeiro,0.0,78838.0,Flamengo,Coritiba FC,Rogério Ceni,Rodrigo Santana,4.0,18.0,60200000.0,8050000.0,28.1,27.9,3.0,1.0,2.0,0.0,4.0,4.0,16.0,18.0,18.0,15.0,0.0,6.0,0.0,1.0,23.0,6.0,10.0,2.0
2020,2020-12-13,25,Estádio Jornalista Mário Filho,Paulo Roberto Alves Júnior,0.0,78838.0,Flamengo,Santos FC,Rogério Ceni,Cuca,2.0,8.0,71150000.0,9400000.0,27.9,23.8,4.0,1.0,1.0,0.0,6.0,4.0,12.0,11.0,11.0,11.0,2.0,0.0,3.0,2.0,12.0,6.0,8.0,3.0
2020,2020-12-20,26,Estádio Jornalista Mário Filho,Flavio Rodrigues de Souza,0.0,78838.0,Flamengo,EC Bahia,Rogério Ceni,Mano Menezes,2.0,16.0,71150000.0,7600000.0,27.9,27.7,4.0,3.0,2.0,0.0,7.0,8.0,17.0,22.0,21.0,15.0,3.0,1.0,2.0,1.0,16.0,17.0,5.0,2.0
2020,2021-01-07,28,Estádio Jornalista Mário Filho,Leandro Pedro Vuaden,0.0,78838.0,Flamengo,Fluminense,Rogério Ceni,Marcão,2.0,7.0,74650000.0,10050000.0,27.4,28.5,1.0,2.0,1.0,0.0,11.0,4.0,12.0,22.0,21.0,12.0,3.0,7.0,0.0,2.0,19.0,11.0,7.0,4.0
2020,2021-01-21,31,Estádio Nacional de Brasília Mané Garrincha,Savio Pereira Sampaio,0.0,72000.0,Flamengo,Palmeiras,Rogério Ceni,Abel Ferreira,4.0,5.0,76650000.0,34600000.0,28.9,27.5,2.0,0.0,1.0,0.0,4.0,1.0,26.0,15.0,14.0,25.0,0.0,5.0,1.0,2.0,15.0,6.0,4.0,4.0
2020,2021-02-05,34,Estádio Jornalista Mário Filho,Raphael Claus,0.0,78838.0,Flamengo,Vasco da Gama,Rogério Ceni,Vanderlei Luxemburgo,2.0,14.0,73550000.0,17850000.0,29.0,27.5,2.0,0.0,1.0,0.0,7.0,5.0,19.0,15.0,14.0,19.0,3.0,4.0,0.0,1.0,17.0,6.0,4.0,2.0
2020,2020-08-13,2,Estádio Governador Plácido Castelo,Caio Max Augusto Vieira,0.0,60326.0,Ceará SC,Grêmio,Guto Ferreira,Renato Gaúcho,14.0,5.0,4530000.0,18080000.0,27.5,27.0,1.0,1.0,1.0,0.0,1.0,7.0,17.0,7.0,7.0,15.0,7.0,4.0,1.0,0.0,11.0,14.0,5.0,4.0
2020,2020-08-21,4,Estádio Governador Plácido Castelo,Thiago Duarte Peixoto,0.0,60326.0,Ceará SC,Vasco da Gama,Guto Ferreira,Ramon Menezes,17.0,3.0,5930000.0,17530000.0,29.2,27.2,0.0,3.0,0.0,0.0,13.0,2.0,18.0,14.0,13.0,18.0,1.0,2.0,1.0,2.0,22.0,5.0,9.0,0.0
2020,2020-08-24,5,Estádio Governador Plácido Castelo,Wagner do Nascimento Magalhães,0.0,60326.0,Ceará SC,EC Bahia,Guto Ferreira,Roger Machado,19.0,2.0,5650000.0,10900000.0,28.3,29.6,2.0,0.0,1.0,0.0,6.0,11.0,21.0,7.0,7.0,18.0,7.0,2.0,1.0,1.0,11.0,16.0,5.0,7.0
2020,2020-09-03,7,Estádio Governador Plácido Castelo,Luiz Flávio de Oliveira,0.0,60326.0,Ceará SC,Fortaleza,Guto Ferreira,Rogério Ceni,13.0,10.0,6000000.0,6850000.0,29.1,28.7,1.0,0.0,1.0,0.0,2.0,6.0,22.0,18.0,18.0,20.0,0.0,3.0,4.0,2.0,9.0,5.0,5.0,3.0
2020,2020-09-13,10,Estádio Governador Plácido Castelo,Marielson Alves Silva,0.0,60326.0,Ceará SC,Flamengo,Guto Ferreira,Domènec Torrent,14.0,3.0,8400000.0,53650000.0,29.6,27.2,2.0,0.0,0.0,0.0,5.0,8.0,8.0,6.0,5.0,8.0,2.0,1.0,2.0,2.0,8.0,11.0,3.0,7.0
2020,2020-11-07,20,Estádio Governador Plácido Castelo,Ricardo Marques Ribeiro,0.0,60326.0,Ceará SC,Sport Recife,Guto Ferreira,Jair Ventura,11.0,10.0,5950000.0,7800000.0,27.5,27.2,0.0,0.0,0.0,0.0,9.0,1.0,17.0,13.0,12.0,17.0,1.0,6.0,4.0,0.0,26.0,4.0,13.0,2.0
2020,2020-12-13,25,Estádio Governador Plácido Castelo,Leandro Pedro Vuaden,0.0,60326.0,Ceará SC,Atlético-GO,Guto Ferreira,Marcelo Cabo,9.0,15.0,6850000.0,7750000.0,28.2,24.7,1.0,2.0,0.0,0.0,2.0,8.0,13.0,15.0,14.0,11.0,4.0,2.0,3.0,2.0,8.0,12.0,4.0,1.0
2020,2021-01-07,28,Estádio Governador Plácido Castelo,Felipe Fernandes,0.0,60326.0,Ceará SC,Internacional,Guto Ferreira,Abel Braga,10.0,4.0,7700000.0,22900000.0,28.4,27.2,0.0,2.0,0.0,0.0,7.0,4.0,18.0,16.0,14.0,18.0,1.0,5.0,0.0,0.0,19.0,8.0,6.0,3.0
2020,2021-01-18,30,Estádio Governador Plácido Castelo,Marcelo de Lima Henrique,0.0,60326.0,Ceará SC,RB Bragantino,Guto Ferreira,Maurício Barbieri,10.0,13.0,7350000.0,19850000.0,28.4,26.4,1.0,2.0,0.0,0.0,6.0,9.0,13.0,16.0,15.0,12.0,5.0,2.0,1.0,0.0,12.0,15.0,7.0,4.0
2020,2021-01-31,33,Estádio Governador Plácido Castelo,Rodrigo D,0.0,60326.0,Ceará SC,Athletico-PR,Guto Ferreira,Paulo Autuori,8.0,12.0,6700000.0,23400000.0,28.0,26.1,0.0,2.0,0.0,0.0,4.0,4.0,15.0,18.0,18.0,15.0,0.0,2.0,1.0,2.0,9.0,11.0,5.0,5.0
2020,2021-02-26,38,Estádio Governador Plácido Castelo,Raphael Claus,0.0,60326.0,Ceará SC,Botafogo,Guto Ferreira,Lúcio Flávio,12.0,20.0,6450000.0,3430000.0,25.6,22.0,2.0,1.0,1.0,0.0,5.0,7.0,7.0,4.0,4.0,5.0,2.0,4.0,0.0,2.0,12.0,17.0,5.0,8.0
2020,2020-08-17,3,Estádio Governador Plácido Castelo,Marielson Alves Silva,0.0,60326.0,Fortaleza,Botafogo,Rogério Ceni,Paulo Autuori,18.0,14.0,7230000.0,10230000.0,30.0,26.1,0.0,0.0,0.0,0.0,4.0,7.0,9.0,8.0,8.0,9.0,6.0,1.0,2.0,1.0,12.0,15.0,8.0,6.0
2020,2020-08-30,6,Estádio Governador Plácido Castelo,Rafael Traci,0.0,60326.0,Fortaleza,RB Bragantino,Rogério Ceni,Felipe Tigrão,14.0,13.0,7350000.0,10480000.0,29.2,23.3,3.0,0.0,1.0,0.0,3.0,4.0,22.0,10.0,9.0,19.0,2.0,3.0,0.0,1.0,13.0,6.0,6.0,3.0
2020,2020-09-09,9,Estádio Governador Plácido Castelo,Felipe Fernandes,0.0,60326.0,Fortaleza,Sport Recife,Rogério Ceni,Jair Ventura,15.0,13.0,8050000.0,7400000.0,30.5,27.3,1.0,0.0,0.0,0.0,6.0,1.0,27.0,14.0,14.0,26.0,1.0,3.0,0.0,2.0,12.0,4.0,7.0,2.0
2020,2020-09-20,11,Estádio Governador Plácido Castelo,Marielson Alves Silva,0.0,60326.0,Fortaleza,Internacional,Rogério Ceni,Eduardo Coudet,13.0,1.0,7750000.0,17850000.0,30.8,27.5,1.0,0.0,0.0,0.0,3.0,7.0,9.0,20.0,19.0,9.0,1.0,2.0,2.0,2.0,12.0,11.0,7.0,7.0
2020,2020-10-04,13,Estádio Governador Plácido Castelo,Jose Mendonça,0.0,60326.0,Fortaleza,Atlético-GO,Rogério Ceni,Vágner Mancini,11.0,14.0,7250000.0,8400000.0,29.6,25.5,0.0,0.0,0.0,0.0,8.0,1.0,8.0,14.0,14.0,7.0,2.0,4.0,1.0,0.0,15.0,7.0,8.0,4.0
2020,2020-10-19,17,Estádio Governador Plácido Castelo,Marcelo de Lima Henrique,0.0,60326.0,Fortaleza,Palmeiras,Rogério Ceni,Andrey Lopes,9.0,8.0,6250000.0,46400000.0,28.2,26.8,2.0,0.0,2.0,0.0,1.0,7.0,14.0,19.0,19.0,14.0,3.0,2.0,0.0,2.0,10.0,15.0,5.0,6.0
2020,2020-11-01,19,Estádio Governador Plácido Castelo,Marielson Alves Silva,0.0,60326.0,Fortaleza,Fluminense,Rogério Ceni,Odair Hellmann,9.0,5.0,7400000.0,12800000.0,28.6,27.3,0.0,1.0,0.0,0.0,3.0,7.0,14.0,18.0,18.0,14.0,3.0,1.0,0.0,1.0,4.0,11.0,2.0,4.0
2020,2020-12-03,24,Estádio Governador Plácido Castelo,Braulio da Silva Machado,0.0,60326.0,Fortaleza,Corinthians,Marcelo Chamusca,Vágner Mancini,9.0,11.0,7900000.0,35900000.0,29.6,29.8,0.0,0.0,0.0,0.0,3.0,4.0,12.0,15.0,15.0,11.0,5.0,5.0,2.0,0.0,13.0,9.0,5.0,3.0
2020,2020-12-20,26,Estádio Governador Plácido Castelo,Anderson Daronco,0.0,60326.0,Fortaleza,Ceará SC,Marcelo Chamusca,Guto Ferreira,13.0,10.0,8100000.0,7350000.0,29.5,28.3,0.0,2.0,0.0,0.0,5.0,1.0,18.0,17.0,17.0,16.0,3.0,0.0,0.0,0.0,10.0,6.0,6.0,1.0
2020,2020-12-26,27,Estádio Governador Plácido Castelo,Rafael Traci,0.0,60326.0,Fortaleza,Flamengo,Marcelo Chamusca,Rogério Ceni,14.0,2.0,7900000.0,66250000.0,29.0,26.7,0.0,0.0,0.0,0.0,4.0,4.0,22.0,14.0,13.0,21.0,2.0,4.0,1.0,0.0,11.0,13.0,6.0,6.0
2020,2021-01-10,29,Estádio Governador Plácido Castelo,Jefferson Ferreira Moraes,0.0,60326.0,Fortaleza,Grêmio,Enderson Moreira,Renato Gaúcho,15.0,6.0,7000000.0,42850000.0,30.6,29.1,0.0,0.0,0.0,0.0,4.0,5.0,17.0,12.0,11.0,16.0,2.0,5.0,3.0,1.0,14.0,11.0,4.0,4.0
2020,2021-01-21,31,Estádio Governador Plácido Castelo,Ricardo Marques Ribeiro,0.0,60326.0,Fortaleza,Santos FC,Enderson Moreira,Cuca,17.0,8.0,8050000.0,11750000.0,30.5,24.1,2.0,0.0,0.0,0.0,7.0,5.0,20.0,14.0,13.0,18.0,3.0,1.0,4.0,1.0,10.0,12.0,4.0,8.0
2020,2021-02-10,35,Estádio Governador Plácido Castelo,Braulio da Silva Machado,0.0,60326.0,Fortaleza,Vasco da Gama,Enderson Moreira,Vanderlei Luxemburgo,15.0,16.0,6750000.0,12800000.0,28.7,26.2,3.0,0.0,2.0,0.0,5.0,7.0,15.0,14.0,13.0,15.0,1.0,4.0,1.0,1.0,17.0,12.0,5.0,5.0
2020,2020-08-23,5,Estádio Olímpico Pedro Ludovico Teixeira,Wilton Sampaio,0.0,13500.0,Goiás EC,Atlético-GO,Glauber Ramos,Vágner Mancini,18.0,13.0,9480000.0,6230000.0,29.0,26.2,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
